GISJOIN,STATEA,COUNTYA,TRACTA,BLKGRPA,below_poverty_total,above_poverty_total
G41001700004011,41,17,401,1,337,2102
G41001700004012,41,17,401,2,196,2233
G41001700004021,41,17,402,1,53,1082
G41001700004022,41,17,402,2,87,907
G41001700004023,41,17,402,3,0,175
G41001700005001,41,17,500,1,315,1418
G41001700005002,41,17,500,2,0,213
G41001700005003,41,17,500,3,11,446
G41001700005004,41,17,500,4,395,1543
G41001700005005,41,17,500,5,175,1239
G41001700006001,41,17,600,1,316,2752
G41001700006002,41,17,600,2,24,1289
G41001700006003,41,17,600,3,28,949
G41001700006004,41,17,600,4,182,1233
G41001700007001,41,17,700,1,116,1064
G41001700007002,41,17,700,2,331,3049
G41001700007003,41,17,700,3,143,951
G41001700007004,41,17,700,4,294,1683
G41001700008001,41,17,800,1,425,3804
G41001700008002,41,17,800,2,234,400
G41001700008003,41,17,800,3,165,493
G41001700008004,41,17,800,4,305,473
G41001700009001,41,17,900,1,869,1364
G41001700009002,41,17,900,2,774,1390
G41001700009003,41,17,900,3,372,925
G41001700009004,41,17,900,4,669,1033
G41001700010011,41,17,1001,1,145,2267
G41001700010012,41,17,1001,2,1026,3258
G41001700010013,41,17,1001,3,0,1195
G41001700010014,41,17,1001,4,1006,2113
G41001700010015,41,17,1001,5,426,1545
G41001700010021,41,17,1002,1,436,1971
G41001700011001,41,17,1100,1,250,2568
G41001700011002,41,17,1100,2,110,1956
G41001700011003,41,17,1100,3,591,4724
G41001700012001,41,17,1200,1,175,1233
G41001700012002,41,17,1200,2,0,710
G41001700012003,41,17,1200,3,123,1605
G41001700012004,41,17,1200,4,218,2503
G41001700013001,41,17,1300,1,253,3357
G41001700013002,41,17,1300,2,238,4130
G41001700013003,41,17,1300,3,255,1190
G41001700013004,41,17,1300,4,143,1009
G41001700013005,41,17,1300,5,127,405
G41001700014001,41,17,1400,1,252,3693
G41001700014002,41,17,1400,2,51,532
G41001700014003,41,17,1400,3,6,376
G41001700015001,41,17,1500,1,163,807
G41001700015002,41,17,1500,2,271,1133
G41001700015003,41,17,1500,3,192,905
G41001700015004,41,17,1500,4,62,577
G41001700015005,41,17,1500,5,319,1386
G41001700016001,41,17,1600,1,194,683
G41001700016002,41,17,1600,2,259,1573
