GISJOIN,STATEA,COUNTYA,TRACTA,BLKGRPA,not_hispanic_or_latino_white_alone,not_hispanic_or_latino_black_or_african_american_alone,not_hispanic_or_latino_american_indian_and_alaska_native_alone,not_hispanic_or_latino_asian_alone,not_hispanic_or_latino_native_hawaiian_and_other_pacific,not_hispanic_or_latino_some_other_race_alone,not_hispanic_or_latino_two_or_more_races,hispanic__or__latino
G41000109501001,41,1,950100,1,628,13,22,0,0,0,14,23
G41000109501002,41,1,950100,2,748,7,2,0,0,0,2,21
G41000109501003,41,1,950100,3,1214,0,0,0,0,0,10,12
G41000109502001,41,1,950200,1,1097,0,0,7,0,0,0,0
G41000109502002,41,1,950200,2,908,0,112,37,0,0,0,105
G41000109502003,41,1,950200,3,748,13,21,0,0,0,12,82
G41000109503001,41,1,950300,1,783,0,0,0,0,0,18,21
G41000109503002,41,1,950300,2,950,0,0,14,0,0,0,0
G41000109503003,41,1,950300,3,582,0,3,0,0,0,7,16
G41000109504001,41,1,950400,1,1657,0,4,0,0,0,8,14
G41000109504002,41,1,950400,2,514,0,0,15,0,0,0,0
G41000109504003,41,1,950400,3,699,0,0,0,0,0,53,11
G41000109505001,41,1,950500,1,1810,4,8,9,0,0,79,140
G41000109505002,41,1,950500,2,755,8,33,0,1,0,71,22
G41000109506001,41,1,950600,1,474,0,0,0,0,0,0,6
G41000109506002,41,1,950600,2,585,0,0,0,0,0,42,8
G41000109506003,41,1,950600,3,674,0,1,0,2,0,8,12
G41000300001001,41,3,100,1,1403,0,0,65,0,23,7,18
G41000300001002,41,3,100,2,1064,0,0,111,0,0,28,138
G41000300001003,41,3,100,3,1310,0,0,98,0,0,81,95
G41000300001004,41,3,100,4,2585,24,0,26,0,0,0,276
G41000300002021,41,3,202,1,1369,73,0,51,0,0,8,0
G41000300002022,41,3,202,2,3006,0,0,184,0,22,12,145
G41000300004001,41,3,400,1,1520,0,23,255,0,0,10,82
G41000300004002,41,3,400,2,2501,0,44,339,0,0,41,35
G41000300004003,41,3,400,3,1372,0,0,235,0,12,49,52
G41000300004004,41,3,400,4,1042,0,0,10,0,0,0,37
G41000300005001,41,3,500,1,681,0,0,7,0,0,0,6
G41000300005002,41,3,500,2,1173,0,0,14,0,0,68,23
G41000300005003,41,3,500,3,1171,0,14,14,0,0,29,0
G41000300006001,41,3,600,1,1639,0,25,12,0,0,10,288
G41000300006002,41,3,600,2,653,83,0,0,180,0,167,15
G41000300006003,41,3,600,3,1396,44,69,110,0,0,0,205
G41000300009001,41,3,900,1,836,0,20,62,0,0,101,0
G41000300009002,41,3,900,2,948,0,0,8,0,0,4,37
G41000300009003,41,3,900,3,1142,50,12,176,0,0,36,11
G41000300009004,41,3,900,4,978,0,19,148,0,0,0,15
G41000300009005,41,3,900,5,971,0,0,12,0,0,44,15
G41000300010011,41,3,1001,1,1053,130,0,111,0,0,48,202
G41000300010012,41,3,1001,2,773,0,0,0,0,0,60,530
G41000300010013,41,3,1001,3,1022,40,15,23,0,0,36,97
G41000300010021,41,3,1002,1,772,0,16,85,0,45,16,0
G41000300010022,41,3,1002,2,1131,0,14,137,42,0,0,48
G41000300010023,41,3,1002,3,608,0,0,99,0,0,35,1
G41000300011011,41,3,1101,1,745,0,7,46,0,0,43,0
G41000300011012,41,3,1101,2,768,9,0,159,0,0,9,52
G41000300011013,41,3,1101,3,801,17,0,133,3,0,25,20
G41000300011014,41,3,1101,4,541,6,0,78,0,0,32,9
G41000300011021,41,3,1102,1,741,0,21,0,10,0,0,43
G41000300011022,41,3,1102,2,728,3,0,116,0,0,84,186
G41000300011023,41,3,1102,3,1181,25,0,133,7,0,18,0
G41000300011024,41,3,1102,4,822,0,0,180,13,0,19,17
G41000300101001,41,3,10100,1,773,0,7,0,0,0,0,0
G41000300101002,41,3,10100,2,1654,7,0,11,0,0,109,108
G41000300101003,41,3,10100,3,2265,0,0,62,0,0,142,0
G41000300101004,41,3,10100,4,1277,0,0,28,0,0,0,43
G41000300101005,41,3,10100,5,1596,0,0,44,0,0,45,0
G41000300102001,41,3,10200,1,1949,11,24,59,0,0,42,13
G41000300102002,41,3,10200,2,990,0,0,13,0,0,66,0
G41000300102003,41,3,10200,3,899,0,22,0,0,0,39,40
G41000300103001,41,3,10300,1,1202,0,0,15,0,0,12,0
G41000300103002,41,3,10300,2,980,0,0,4,0,0,9,23
G41000300103003,41,3,10300,3,792,0,5,14,0,13,36,57
G41000300104001,41,3,10400,1,600,0,0,0,0,0,0,3
G41000300104002,41,3,10400,2,852,0,12,0,0,0,0,24
G41000300104003,41,3,10400,3,2229,57,104,0,2,0,84,371
G41000300106001,41,3,10600,1,971,1,16,12,0,0,20,15
G41000300106002,41,3,10600,2,658,30,11,156,1,0,53,51
G41000300106003,41,3,10600,3,800,58,0,122,13,0,29,51
G41000300106004,41,3,10600,4,1450,0,7,263,30,0,59,71
G41000300107021,41,3,10702,1,907,11,9,219,0,9,53,28
G41000300107022,41,3,10702,2,1026,4,13,169,8,0,109,54
G41000300107023,41,3,10702,3,371,108,14,73,0,0,14,7
G41000300108001,41,3,10800,1,636,0,0,0,0,0,54,444
G41000300108002,41,3,10800,2,872,0,0,13,0,0,14,10
G41000300108003,41,3,10800,3,1379,0,21,7,0,0,43,60
G41000300109001,41,3,10900,1,1679,75,0,86,0,0,43,27
G41000300109002,41,3,10900,2,2225,0,0,143,0,0,15,107
G41000500201001,41,5,20100,1,1721,3,0,6,0,0,36,77
G41000500201002,41,5,20100,2,822,0,0,34,0,0,8,7
G41000500201003,41,5,20100,3,746,22,0,8,0,0,33,0
G41000500202001,41,5,20200,1,1003,0,0,0,7,0,7,36
G41000500202002,41,5,20200,2,995,0,0,55,0,0,0,0
G41000500202003,41,5,20200,3,817,0,0,130,0,0,0,0
G41000500202004,41,5,20200,4,1899,0,0,39,0,0,36,10
G41000500202005,41,5,20200,5,977,0,0,40,0,21,30,27
G41000500203021,41,5,20302,1,887,0,0,202,0,0,0,0
G41000500203022,41,5,20302,2,2338,3,0,110,0,0,66,120
G41000500203031,41,5,20303,1,1630,19,0,39,0,0,0,21
G41000500203032,41,5,20303,2,1112,0,0,142,0,0,64,0
G41000500203033,41,5,20303,3,1867,13,35,88,0,0,37,67
G41000500203041,41,5,20304,1,1848,10,0,446,0,0,35,60
G41000500203042,41,5,20304,2,1209,0,0,107,0,0,0,52
G41000500203043,41,5,20304,3,1699,37,0,374,0,0,32,91
G41000500204011,41,5,20401,1,812,7,0,66,0,0,4,253
G41000500204012,41,5,20401,2,668,0,0,0,0,0,0,0
G41000500204013,41,5,20401,3,1190,0,17,25,0,0,0,146
G41000500204014,41,5,20401,4,1281,0,35,20,0,0,46,9
G41000500204031,41,5,20403,1,2216,0,0,41,0,0,136,31
G41000500204032,41,5,20403,2,981,0,0,29,0,0,24,16
G41000500204041,41,5,20404,1,1627,29,0,53,0,0,13,25
G41000500204042,41,5,20404,2,1833,0,0,40,0,0,23,60
G41000500205011,41,5,20501,1,726,0,0,127,0,0,14,250
G41000500205012,41,5,20501,2,2800,24,3,44,0,0,78,43
G41000500205013,41,5,20501,3,2520,0,0,123,0,0,121,25
G41000500205031,41,5,20503,1,1096,18,0,48,0,0,11,22
G41000500205032,41,5,20503,2,890,0,0,5,0,0,16,0
G41000500205041,41,5,20504,1,824,0,0,115,0,0,11,30
G41000500205042,41,5,20504,2,2017,77,0,114,29,0,60,11
G41000500205043,41,5,20504,3,2657,0,0,226,0,0,65,109
G41000500205051,41,5,20505,1,1498,5,5,51,0,0,5,0
G41000500205052,41,5,20505,2,1225,0,33,0,0,0,0,24
G41000500206001,41,5,20600,1,1442,0,0,43,0,0,136,57
G41000500206002,41,5,20600,2,2995,2,19,76,0,0,75,73
G41000500206003,41,5,20600,3,2356,0,0,288,0,0,76,346
G41000500207001,41,5,20700,1,768,0,13,0,0,0,0,29
G41000500207002,41,5,20700,2,1682,0,10,28,0,0,39,61
G41000500207003,41,5,20700,3,855,0,0,116,0,0,41,12
G41000500208001,41,5,20800,1,1489,56,0,118,0,0,32,36
G41000500208002,41,5,20800,2,759,17,20,0,0,0,51,0
G41000500208003,41,5,20800,3,1338,37,0,74,0,0,70,46
G41000500209001,41,5,20900,1,1005,67,0,12,0,0,0,0
G41000500209002,41,5,20900,2,966,0,0,22,0,0,12,0
G41000500209003,41,5,20900,3,1245,29,6,1,0,0,65,22
G41000500210001,41,5,21000,1,723,5,6,37,0,0,32,121
G41000500210002,41,5,21000,2,1922,128,0,53,0,0,75,75
G41000500210003,41,5,21000,3,1017,29,0,49,0,0,42,27
G41000500211001,41,5,21100,1,891,189,0,57,0,0,22,28
G41000500211002,41,5,21100,2,1162,0,0,179,0,0,52,0
G41000500211003,41,5,21100,3,1147,21,0,10,0,0,42,0
G41000500211004,41,5,21100,4,1981,0,0,75,0,0,48,20
G41000500212001,41,5,21200,1,1379,0,0,18,0,0,0,13
G41000500212002,41,5,21200,2,636,0,0,15,0,0,111,33
G41000500212003,41,5,21200,3,1291,0,0,0,0,0,124,328
G41000500213001,41,5,21300,1,2896,118,49,30,0,0,201,75
G41000500213002,41,5,21300,2,1651,1,0,0,0,0,22,0
G41000500213003,41,5,21300,3,831,12,0,0,0,0,13,33
G41000500214001,41,5,21400,1,2260,51,27,54,5,0,87,103
G41000500214002,41,5,21400,2,646,0,0,27,0,0,6,371
G41000500214003,41,5,21400,3,921,0,0,0,0,0,54,0
G41000500215001,41,5,21500,1,1654,0,0,44,0,0,85,97
G41000500215002,41,5,21500,2,2652,0,0,56,36,0,98,70
G41000500216011,41,5,21601,1,1098,0,0,62,0,0,44,33
G41000500216012,41,5,21601,2,2128,14,13,26,0,0,46,368
G41000500216013,41,5,21601,3,934,0,0,0,0,0,17,28
G41000500216014,41,5,21601,4,432,45,1,8,0,8,81,3
G41000500216021,41,5,21602,1,1731,0,0,64,17,0,58,212
G41000500216022,41,5,21602,2,598,25,1,46,0,0,0,20
G41000500216023,41,5,21602,3,1566,15,7,118,102,0,23,296
G41000500217001,41,5,21700,1,2303,0,67,26,0,0,200,2
G41000500217002,41,5,21700,2,821,78,10,145,0,0,26,382
G41000500217003,41,5,21700,3,1686,16,10,55,0,0,0,150
G41000500218011,41,5,21801,1,1583,0,0,0,0,0,156,71
G41000500218012,41,5,21801,2,1233,12,0,0,0,0,13,15
G41000500218013,41,5,21801,3,1957,0,0,144,0,0,24,24
G41000500218021,41,5,21802,1,1350,5,0,0,18,0,0,118
G41000500218022,41,5,21802,2,1837,13,8,245,84,0,224,217
G41000500219001,41,5,21900,1,2286,0,0,12,0,0,45,286
G41000500219002,41,5,21900,2,970,0,20,0,0,0,78,0
G41000500220001,41,5,22000,1,1815,0,0,145,0,0,129,51
G41000500220002,41,5,22000,2,2142,158,0,13,0,0,97,22
G41000500220003,41,5,22000,3,1690,0,0,0,0,0,43,157
G41000500221011,41,5,22101,1,2057,41,0,0,0,0,165,57
G41000500221012,41,5,22101,2,860,0,0,0,0,0,35,208
G41000500221013,41,5,22101,3,1347,5,13,20,0,0,29,262
G41000500221014,41,5,22101,4,1793,77,23,43,1,0,17,102
G41000500221031,41,5,22103,1,2147,0,222,754,0,61,87,285
G41000500221032,41,5,22103,2,2515,71,0,303,0,0,130,167
G41000500221051,41,5,22105,1,721,29,0,110,361,0,82,79
G41000500221052,41,5,22105,2,1764,64,0,199,0,0,171,140
G41000500221053,41,5,22105,3,1862,0,31,296,0,0,49,19
G41000500221071,41,5,22107,1,2280,73,64,58,0,0,32,160
G41000500221072,41,5,22107,2,722,52,0,19,0,0,0,117
G41000500221081,41,5,22108,1,744,0,0,0,0,0,0,384
G41000500221082,41,5,22108,2,1321,0,8,41,0,0,22,431
G41000500222011,41,5,22201,1,301,0,0,13,0,0,0,255
G41000500222012,41,5,22201,2,1424,13,0,84,25,0,35,355
G41000500222013,41,5,22201,3,1109,6,0,34,0,0,25,559
G41000500222051,41,5,22205,1,851,50,0,186,0,0,51,42
G41000500222052,41,5,22205,2,1344,12,0,354,0,0,191,47
G41000500222061,41,5,22206,1,1799,19,0,405,0,0,69,10
G41000500222062,41,5,22206,2,2545,69,1,1055,60,0,151,132
G41000500222071,41,5,22207,1,2743,16,12,456,0,0,207,66
G41000500222072,41,5,22207,2,1157,0,0,338,0,0,32,107
G41000500222081,41,5,22208,1,2289,82,8,808,0,0,178,37
G41000500222082,41,5,22208,2,2515,0,40,135,0,16,232,110
G41000500223011,41,5,22301,1,1601,27,12,79,0,0,109,36
G41000500223012,41,5,22301,2,887,0,0,18,0,0,25,17
G41000500223013,41,5,22301,3,865,0,0,0,0,0,0,35
G41000500223021,41,5,22302,1,1830,0,0,17,0,0,23,299
G41000500223022,41,5,22302,2,1858,0,0,10,0,0,40,26
G41000500223023,41,5,22302,3,995,0,1,136,0,0,17,0
G41000500224001,41,5,22400,1,977,11,88,5,0,0,30,10
G41000500224002,41,5,22400,2,1083,32,48,61,0,0,27,7
G41000500224003,41,5,22400,3,511,0,12,0,0,0,24,34
G41000500224004,41,5,22400,4,531,0,0,0,0,0,101,69
G41000500224005,41,5,22400,5,415,0,36,11,0,0,0,0
G41000500225001,41,5,22500,1,2584,17,0,11,0,0,216,46
G41000500225002,41,5,22500,2,1639,13,25,16,0,0,64,281
G41000500225003,41,5,22500,3,2019,0,23,0,0,0,0,60
G41000500225004,41,5,22500,4,430,0,0,0,0,0,0,201
G41000500226021,41,5,22602,1,1744,0,2,18,0,0,11,45
G41000500226022,41,5,22602,2,1664,0,13,8,0,0,40,191
G41000500226031,41,5,22603,1,2607,0,0,86,0,0,82,172
G41000500226051,41,5,22605,1,1705,48,8,69,0,0,211,109
G41000500226052,41,5,22605,2,2722,0,0,0,0,0,23,250
G41000500226053,41,5,22605,3,2050,11,0,44,0,0,10,247
G41000500226061,41,5,22606,1,4234,11,0,79,0,12,24,44
G41000500227021,41,5,22702,1,2426,12,36,88,0,0,195,70
G41000500227022,41,5,22702,2,1455,0,0,71,0,0,41,27
G41000500227023,41,5,22702,3,1224,0,21,0,0,0,3,1
G41000500227024,41,5,22702,4,1459,0,0,70,0,0,57,10
G41000500227071,41,5,22707,1,844,0,9,0,0,0,0,8
G41000500227072,41,5,22707,2,2324,0,0,131,45,0,203,446
G41000500227081,41,5,22708,1,1340,15,0,12,0,0,38,54
G41000500227082,41,5,22708,2,1964,0,0,27,0,0,59,514
G41000500227101,41,5,22710,1,1926,19,1,221,34,0,143,70
G41000500228001,41,5,22800,1,723,0,0,0,0,0,0,0
G41000500228002,41,5,22800,2,1625,0,0,0,0,0,0,0
G41000500228003,41,5,22800,3,635,0,0,0,0,0,0,0
G41000500228004,41,5,22800,4,733,0,0,0,0,0,29,36
G41000500229011,41,5,22901,1,2868,0,0,176,9,40,68,48
G41000500229041,41,5,22904,1,1419,0,13,15,0,0,0,389
G41000500229042,41,5,22904,2,1163,0,0,0,0,0,0,239
G41000500229051,41,5,22905,1,644,0,37,26,0,0,22,197
G41000500229052,41,5,22905,2,1268,0,0,14,0,0,34,44
G41000500229053,41,5,22905,3,1174,0,10,103,0,0,0,166
G41000500229061,41,5,22906,1,1296,0,0,7,0,0,0,0
G41000500229062,41,5,22906,2,1069,0,0,0,0,0,0,350
G41000500229071,41,5,22907,1,1503,0,0,0,0,0,33,556
G41000500229072,41,5,22907,2,822,0,0,0,0,0,24,883
G41000500230011,41,5,23001,1,1857,0,34,0,0,0,47,75
G41000500230012,41,5,23001,2,835,0,0,0,0,23,132,11
G41000500230021,41,5,23002,1,1412,0,16,0,0,0,22,14
G41000500230022,41,5,23002,2,1499,0,9,0,1,0,75,68
G41000500231001,41,5,23100,1,2422,33,0,74,0,0,57,54
G41000500231002,41,5,23100,2,1334,8,0,13,0,0,0,98
G41000500231003,41,5,23100,3,1983,15,0,56,0,0,181,0
G41000500232011,41,5,23201,1,1815,26,0,33,0,0,46,12
G41000500232012,41,5,23201,2,2403,6,0,0,0,0,73,0
G41000500232021,41,5,23202,1,648,0,0,0,0,0,42,0
G41000500232022,41,5,23202,2,1814,0,1,0,32,0,0,13
G41000500232023,41,5,23202,3,3097,1,1,454,2,0,234,255
G41000500233001,41,5,23300,1,1487,0,0,14,0,0,28,0
G41000500233002,41,5,23300,2,997,0,0,0,0,0,51,78
G41000500233003,41,5,23300,3,1543,5,5,23,0,0,41,69
G41000500234011,41,5,23401,1,1625,0,39,32,0,0,27,156
G41000500234012,41,5,23401,2,1464,0,0,0,0,0,42,96
G41000500234013,41,5,23401,3,479,0,0,0,0,0,8,101
G41000500234031,41,5,23403,1,4309,0,8,0,0,0,68,119
G41000500234041,41,5,23404,1,1129,0,0,16,0,0,0,23
G41000500234042,41,5,23404,2,1435,7,0,10,14,0,224,199
G41000500234043,41,5,23404,3,1335,0,18,0,0,0,66,19
G41000500234044,41,5,23404,4,1348,0,0,69,0,0,28,16
G41000500235001,41,5,23500,1,1195,0,15,23,0,0,0,113
G41000500235002,41,5,23500,2,1426,0,12,0,0,0,0,41
G41000500235003,41,5,23500,3,616,9,0,48,0,0,0,0
G41000500235004,41,5,23500,4,747,0,27,0,0,0,0,0
G41000500235005,41,5,23500,5,1128,0,0,0,0,0,0,0
G41000500236001,41,5,23600,1,1474,7,0,0,0,0,5,12
G41000500236002,41,5,23600,2,1498,0,8,0,0,0,0,10
G41000500236003,41,5,23600,3,1071,0,0,48,0,0,23,85
G41000500237001,41,5,23700,1,1325,0,4,0,0,0,0,31
G41000500237002,41,5,23700,2,552,2,0,7,0,0,45,11
G41000500237003,41,5,23700,3,998,0,29,0,0,0,22,58
G41000500237004,41,5,23700,4,1823,5,37,11,0,0,29,9
G41000500238001,41,5,23800,1,1001,0,0,0,0,0,29,20
G41000500238002,41,5,23800,2,1000,0,0,38,0,0,0,30
G41000500238003,41,5,23800,3,592,0,0,87,0,0,0,0
G41000500238004,41,5,23800,4,2050,0,24,12,0,0,18,308
G41000500238005,41,5,23800,5,1051,0,0,9,0,0,0,524
G41000500239011,41,5,23901,1,4864,0,47,0,0,0,10,287
G41000500239021,41,5,23902,1,1483,0,20,22,0,0,0,0
G41000500239022,41,5,23902,2,1842,0,0,0,0,0,0,38
G41000500239023,41,5,23902,3,750,0,0,0,0,0,77,161
G41000500240001,41,5,24000,1,1812,0,0,0,0,0,0,6
G41000500240002,41,5,24000,2,854,0,0,0,0,0,51,3
G41000500241001,41,5,24100,1,1484,12,0,0,0,8,0,41
G41000500241002,41,5,24100,2,1621,0,11,5,0,0,161,12
G41000500241003,41,5,24100,3,1267,0,8,0,0,0,8,0
G41000500242001,41,5,24200,1,1243,0,6,20,0,0,37,72
G41000500242002,41,5,24200,2,2660,21,19,5,0,0,21,342
G41000500242003,41,5,24200,3,638,34,12,0,0,0,11,71
G41000500242004,41,5,24200,4,1120,40,7,0,0,0,83,11
G41000500243021,41,5,24302,1,1511,10,0,23,0,0,19,185
G41000500243022,41,5,24302,2,1435,0,7,11,0,0,9,15
G41000500243023,41,5,24302,3,1342,12,0,0,0,0,29,105
G41000500243031,41,5,24303,1,1759,0,0,0,0,0,98,0
G41000500243032,41,5,24303,2,1015,0,0,0,5,0,0,36
G41000500243041,41,5,24304,1,1603,0,0,20,0,0,12,53
G41000500243042,41,5,24304,2,415,0,9,0,0,0,4,6
G41000500244001,41,5,24400,1,2594,89,0,164,0,0,260,322
G41000500244002,41,5,24400,2,864,0,0,77,0,0,0,71
G41000500244003,41,5,24400,3,1803,13,0,58,0,0,30,82
G41000509800001,41,5,980000,1,96,7,4,0,5,0,10,35
G41000709501001,41,7,950100,1,424,0,0,0,0,0,26,28
G41000709501002,41,7,950100,2,874,1,9,96,0,0,6,64
G41000709501003,41,7,950100,3,833,13,12,21,0,0,120,245
G41000709502001,41,7,950200,1,1063,24,0,10,0,0,20,0
G41000709502002,41,7,950200,2,571,22,0,80,0,0,78,3
G41000709502003,41,7,950200,3,1209,0,4,0,0,0,35,66
G41000709502004,41,7,950200,4,311,0,0,0,0,0,0,0
G41000709503001,41,7,950300,1,761,0,0,0,0,0,17,41
G41000709503002,41,7,950300,2,264,40,2,0,8,0,39,46
G41000709503003,41,7,950300,3,865,11,20,38,0,0,0,205
G41000709503004,41,7,950300,4,556,0,11,0,0,0,0,0
G41000709504001,41,7,950400,1,1142,0,0,21,0,0,0,112
G41000709504002,41,7,950400,2,1599,0,1,0,0,0,49,27
G41000709504003,41,7,950400,3,739,18,0,0,0,0,26,17
G41000709505001,41,7,950500,1,1234,21,0,14,0,0,5,16
G41000709505002,41,7,950500,2,1041,0,0,0,11,0,0,85
G41000709505003,41,7,950500,3,2016,0,19,29,0,0,115,11
G41000709506001,41,7,950600,1,839,0,0,0,0,0,44,9
G41000709506002,41,7,950600,2,764,0,0,0,0,0,67,48
G41000709506003,41,7,950600,3,660,0,0,0,0,0,29,0
G41000709507001,41,7,950700,1,1062,1,0,5,0,0,15,18
G41000709507002,41,7,950700,2,796,11,4,14,0,0,0,29
G41000709509001,41,7,950900,1,671,0,0,0,0,0,5,11
G41000709509002,41,7,950900,2,1044,7,0,0,0,0,143,18
G41000709509003,41,7,950900,3,609,0,0,0,0,0,2,20
G41000709509004,41,7,950900,4,728,0,8,0,0,0,0,15
G41000709509005,41,7,950900,5,441,0,0,0,0,0,0,74
G41000709509006,41,7,950900,6,226,0,0,0,0,0,0,0
G41000709511001,41,7,951100,1,1716,0,0,31,0,0,22,179
G41000709511002,41,7,951100,2,609,0,10,0,0,0,18,50
G41000709511003,41,7,951100,3,1131,59,10,16,0,0,107,26
G41000709511004,41,7,951100,4,431,0,0,23,0,0,0,27
G41000709512001,41,7,951200,1,983,0,0,0,0,0,11,39
G41000709512002,41,7,951200,2,917,0,11,11,0,0,29,0
G41000709512003,41,7,951200,3,944,0,0,3,0,0,23,34
G41000709513001,41,7,951300,1,1484,4,0,0,18,0,68,9
G41000709513002,41,7,951300,2,756,0,7,0,0,0,27,0
G41000709900000,41,7,990000,0,0,0,0,0,0,0,0,0
G41000909702001,41,9,970200,1,989,0,0,0,0,0,78,18
G41000909702002,41,9,970200,2,1202,0,23,0,0,10,45,95
G41000909702003,41,9,970200,3,1760,0,83,16,0,0,13,0
G41000909702004,41,9,970200,4,1406,0,0,0,0,0,11,0
G41000909702005,41,9,970200,5,1153,0,0,0,0,0,9,17
G41000909703001,41,9,970300,1,819,44,0,0,0,0,22,7
G41000909703002,41,9,970300,2,686,22,11,16,0,4,6,0
G41000909703003,41,9,970300,3,712,0,0,20,0,0,52,0
G41000909703004,41,9,970300,4,672,0,59,0,0,0,23,37
G41000909703005,41,9,970300,5,570,0,17,0,0,0,5,19
G41000909704001,41,9,970400,1,1042,0,0,0,8,0,70,12
G41000909704002,41,9,970400,2,1071,0,40,5,3,0,13,46
G41000909705001,41,9,970500,1,3306,0,0,30,0,4,87,74
G41000909705002,41,9,970500,2,966,0,0,0,9,0,35,55
G41000909705003,41,9,970500,3,787,0,0,11,0,0,0,14
G41000909705004,41,9,970500,4,674,0,44,13,0,0,0,0
G41000909706001,41,9,970600,1,2047,0,0,77,0,0,160,110
G41000909706002,41,9,970600,2,576,0,0,0,0,0,0,86
G41000909706003,41,9,970600,3,1280,0,0,0,0,0,35,0
G41000909706004,41,9,970600,4,1666,0,0,9,0,0,34,0
G41000909707001,41,9,970700,1,871,0,26,0,0,0,74,0
G41000909707002,41,9,970700,2,569,0,30,10,0,0,17,0
G41000909707003,41,9,970700,3,938,16,30,20,0,0,74,39
G41000909707004,41,9,970700,4,1006,0,118,0,0,0,6,32
G41000909708001,41,9,970800,1,1344,0,0,0,17,0,197,64
G41000909708002,41,9,970800,2,1428,0,27,0,0,0,25,146
G41000909708003,41,9,970800,3,3080,3,17,84,38,0,61,54
G41000909709001,41,9,970900,1,1167,0,0,11,0,0,34,182
G41000909709002,41,9,970900,2,886,0,0,38,0,0,35,87
G41000909709003,41,9,970900,3,2130,0,103,61,0,0,88,74
G41000909710001,41,9,971000,1,1176,0,27,13,0,0,68,58
G41000909710002,41,9,971000,2,1811,27,0,30,0,0,43,10
G41000909710003,41,9,971000,3,1283,0,0,11,0,0,0,30
G41000909711001,41,9,971100,1,793,0,0,7,0,0,38,0
G41000909711002,41,9,971100,2,1283,0,0,0,4,0,5,9
G41000909711003,41,9,971100,3,1223,0,0,0,0,0,33,64
G41001100001001,41,11,100,1,781,3,53,4,0,0,17,35
G41001100001002,41,11,100,2,585,0,0,3,0,0,0,22
G41001100001003,41,11,100,3,1248,0,11,10,0,0,26,50
G41001100001004,41,11,100,4,924,2,14,0,0,0,0,19
G41001100001005,41,11,100,5,884,0,0,0,0,0,34,0
G41001100001006,41,11,100,6,911,0,37,37,0,0,133,0
G41001100002001,41,11,200,1,681,0,68,0,0,0,49,20
G41001100002002,41,11,200,2,1068,0,48,0,0,0,0,22
G41001100002003,41,11,200,3,659,0,9,0,0,0,70,19
G41001100003001,41,11,300,1,844,7,7,26,0,0,0,72
G41001100003002,41,11,300,2,510,9,0,8,0,0,0,22
G41001100003003,41,11,300,3,577,0,11,13,0,0,92,0
G41001100003004,41,11,300,4,927,0,0,8,10,76,56,9
G41001100004001,41,11,400,1,1258,13,0,0,0,0,19,21
G41001100004002,41,11,400,2,587,0,0,32,0,0,53,20
G41001100004003,41,11,400,3,637,0,57,13,0,0,173,93
G41001100004004,41,11,400,4,545,0,0,57,0,0,0,9
G41001100004005,41,11,400,5,1234,0,33,0,0,0,275,9
G41001100004006,41,11,400,6,1073,0,54,0,0,0,22,9
G41001100005021,41,11,502,1,1790,3,0,43,0,0,51,23
G41001100005022,41,11,502,2,671,0,0,29,1,0,5,17
G41001100005031,41,11,503,1,1165,0,29,20,0,0,10,66
G41001100005032,41,11,503,2,1000,45,12,43,0,0,7,236
G41001100005041,41,11,504,1,884,1,1,0,0,0,2,0
G41001100005042,41,11,504,2,1021,8,40,0,0,0,85,28
G41001100005043,41,11,504,3,387,0,146,21,0,0,88,145
G41001100005044,41,11,504,4,483,0,69,33,0,0,98,28
G41001100005045,41,11,504,5,1740,14,232,11,21,0,150,297
G41001100006001,41,11,600,1,737,0,10,12,0,0,8,0
G41001100006002,41,11,600,2,549,49,0,0,0,0,32,19
G41001100006003,41,11,600,3,1073,8,30,16,0,0,36,17
G41001100007001,41,11,700,1,1109,0,0,6,0,0,10,14
G41001100007002,41,11,700,2,719,0,26,0,0,0,56,0
G41001100007003,41,11,700,3,352,0,0,8,0,0,0,104
G41001100007004,41,11,700,4,444,0,15,77,0,0,0,0
G41001100007005,41,11,700,5,683,0,62,0,0,0,0,0
G41001100007006,41,11,700,6,972,0,0,21,0,0,84,50
G41001100007007,41,11,700,7,686,0,0,0,0,0,31,40
G41001100007008,41,11,700,8,1054,0,15,38,0,0,42,19
G41001100008001,41,11,800,1,936,0,0,0,0,0,4,9
G41001100008002,41,11,800,2,1770,0,55,10,0,0,69,37
G41001100009001,41,11,900,1,890,0,23,19,0,0,0,0
G41001100009002,41,11,900,2,1223,0,0,0,0,0,0,0
G41001100009003,41,11,900,3,995,0,9,0,0,0,30,0
G41001100009004,41,11,900,4,755,0,52,0,0,0,47,0
G41001100009005,41,11,900,5,691,0,2,0,0,0,72,122
G41001100009006,41,11,900,6,881,0,4,0,0,0,8,16
G41001100009007,41,11,900,7,825,0,0,0,12,0,0,0
G41001100009008,41,11,900,8,432,0,0,0,61,50,23,12
G41001100010001,41,11,1000,1,815,0,0,0,0,0,0,14
G41001100010002,41,11,1000,2,1199,0,61,16,0,0,0,35
G41001100010003,41,11,1000,3,655,0,0,0,0,0,0,30
G41001100010004,41,11,1000,4,1423,0,0,24,0,0,51,0
G41001100010005,41,11,1000,5,614,0,23,22,0,0,0,58
G41001100010006,41,11,1000,6,1084,0,0,0,0,0,0,28
G41001100010007,41,11,1000,7,654,41,26,0,0,0,0,45
